case_id,category,prev,wrong,next,expected,corrected,decision,pass,bigram_prev_orig,bigram_prev_corr,bigram_orig_next,bigram_corr_next,dynamic_keep_bonus,dynamic_margin,dynamic_threshold,orig_left,orig_bi_diag
1,non-word,after,swithcing,to,switching,switching,Non-word error,True,0,7,0,27,,,,,
2,non-word,also,vmore,conservative-leaning,more,more,Non-word error,True,0,58,0,0,,,,,
3,non-word,anti-hypertensive,mdeication,patients,medication,medication,Non-word error,True,0,0,0,3,,,,,
4,non-word,were,emasured,in,measured,measured,Non-word error,True,0,510,0,203,,,,,
5,non-word,healthy,aduls,over,adults,adults,Non-word error,True,0,65,0,14,,,,,
6,non-word,same,fyling,distance,flying,flying,Non-word error,True,0,0,0,0,,,,,
7,non-word,genome-wide,crisrp,screens,crispr,crispr,Non-word error,True,0,0,0,4,,,,,
8,non-word,acute,respiratoiy,syndrome,respiratory,respiratory,Non-word error,True,0,1790,0,697,,,,,
9,non-word,the,gyreat,depression,great,great,Non-word error,True,0,159,0,13,,,,,
10,non-word,high,seroprdevalence,observed,seroprevalence,seroprevalence,Non-word error,True,0,7,0,0,,,,,
11,non-word,young,populatioin,is,population,population,Non-word error,True,0,9,0,165,,,,,
12,non-word,transfer,imeratie,model,iterative,iterative,Non-word error,True,0,0,0,1,,,,,
13,non-word,sleep,daytim,napping,daytime,daytime,Non-word error,True,0,0,0,0,,,,,
14,non-word,in,hcina,and,china,china,Non-word error,True,0,1403,0,357,,,,,
15,non-word,under,yers,of,years,years,Non-word error,True,0,133,0,867,,,,,
16,non-word,to,provifde,further,provide,provide,Non-word error,True,0,1943,0,37,,,,,
17,non-word,this,reporit,highlights,report,report,Non-word error,True,0,242,0,17,,,,,
18,non-word,the,ehalth,effects,health,health,Non-word error,True,0,1353,0,139,,,,,
19,non-word,include,aresa,of,areas,areas,Non-word error,True,0,0,0,728,,,,,
20,non-word,respiratory,synwrome,mers-cov,syndrome,syndrome,Non-word error,True,0,697,0,0,,,,,
21,non-word,no,hattention,,attention,attention,Non-word error,True,0,5,0,0,,,,,
22,non-word,,depjte,the,despite,despite,Non-word error,True,0,0,0,848,,,,,
23,non-word,social,adverity,are,adversity,adversity,Non-word error,True,0,1,0,1,,,,,
24,non-word,transmission,wearinug,mask,wearing,wearing,Non-word error,True,0,0,0,1,,,,,
25,non-word,the,photein,,protein,protein,Non-word error,True,0,590,0,0,,,,,
26,non-word,health,mesaures,effective,measures,measures,Non-word error,True,0,83,0,2,,,,,
27,non-word,previous,yeasr,activity,years,years,Non-word error,True,0,54,0,3,,,,,
28,non-word,behavioral,sciencec,that,science,science,Non-word error,True,0,13,0,14,,,,,
29,non-word,term,hvch,controls,which,which,Non-word error,True,0,3,0,9,,,,,
30,non-word,nm,witohut,affecting,without,without,Non-word error,True,0,1,0,58,,,,,
31,non-word,first,detah,of,death,death,Non-word error,True,0,0,0,127,,,,,
32,non-word,the,intenationll,academy,international,international,Non-word error,True,0,593,0,3,,,,,
33,non-word,respiratory,inection,these,infection,infection,Non-word error,True,0,215,0,65,,,,,
34,non-word,fundamental,varirble,of,variable,variable,Non-word error,True,0,0,0,14,,,,,
35,non-word,while,pevevting,spread,preventing,preventing,Non-word error,True,0,6,0,1,,,,,
36,non-word,eu,aclively,responded,actively,actively,Non-word error,True,0,0,0,0,,,,,
