case_id,source,category,subcategory,prev,wrong,next,expected,note,fragment
t2_0001,test2.csv,non-word,trans,after,swithcing,to,switching,nonword edit=trans,the following six weeks after swithcing to fully online given education
t2_0002,test2.csv,non-word,ins,also,vmore,conservative-leaning,more,nonword edit=ins,dispositionally sociable and were also vmore conservative-leaning compared to participants who
t2_0003,test2.csv,non-word,trans,anti-hypertensive,mdeication,patients,medication,nonword edit=trans,taking at least one anti-hypertensive mdeication patients were receiving acei arb
t2_0004,test2.csv,non-word,trans,were,emasured,in,measured,nonword edit=trans,iii atiii and fibrinogen were emasured in samples from covid-19 patients
t2_0005,test2.csv,non-word,del,healthy,aduls,over,adults,nonword edit=del,three groups of healthy aduls over years of age participants
t2_0006,test2.csv,non-word,trans,same,fyling,distance,flying,nonword edit=trans,factor of for the same fyling distance
t2_0007,test2.csv,non-word,trans,genome-wide,crisrp,screens,crispr,nonword edit=trans,here we conducted genome-wide crisrp screens in cells infected by
t2_0008,test2.csv,non-word,rep,acute,respiratoiy,syndrome,respiratory,nonword edit=rep,objectives the severe acute respiratoiy syndrome coronavirus sars-cov-2 pandemic has
t2_0009,test2.csv,non-word,ins,the,gyreat,depression,great,nonword edit=ins,spanish flu pandemic and the gyreat depression all at once
t2_0010,test2.csv,non-word,ins,high,seroprdevalence,observed,seroprevalence,nonword edit=ins,conclusion the high seroprdevalence observed can be partially explained
t2_0011,test2.csv,non-word,ins,young,populatioin,is,population,nonword edit=ins,reproductive system of the young populatioin is preordained for subsequent disorders
t2_0012,test2.csv,non-word,dist2_del_rep,transfer,imeratie,model,iterative,nonword edit=dist2_del_rep,use of modality-specific knowledge transfer imeratie model pruning and ensemble learning
t2_0013,test2.csv,non-word,del,sleep,daytim,napping,daytime,nonword edit=del,measure changes in nocturnal sleep daytim napping lifestyles and negative emotions
t2_0014,test2.csv,non-word,trans,in,hcina,and,china,nonword edit=trans,stage of covid-19 pandemic in hcina and to explore the associated
t2_0015,test2.csv,non-word,del,under,yers,of,years,nonword edit=del,when compared to those under yers of age
t2_0016,test2.csv,non-word,ins,to,provifde,further,provide,nonword edit=ins,further research is required to provifde further evidence for the presence
t2_0017,test2.csv,non-word,ins,this,reporit,highlights,report,nonword edit=ins,modified-dose folfirinox therapy conclusion this reporit highlights the need for further
t2_0018,test2.csv,non-word,trans,the,ehalth,effects,health,nonword edit=trans,policy and to evaluate the ehalth effects of city planning efforts
t2_0019,test2.csv,non-word,trans,include,aresa,of,areas,nonword edit=trans,topics include aresa of work cover health and
t2_0020,test2.csv,non-word,rep,respiratory,synwrome,mers-cov,syndrome,nonword edit=rep,sars-cov and middle east respiratory synwrome mers-cov did not produce even
t2_0021,test2.csv,non-word,ins,no,hattention,,attention,nonword edit=ins,literature without little to no hattention
t2_0022,test2.csv,non-word,dist2_del_rep,,depjte,the,despite,nonword edit=dist2_del_rep,depjte the direct effect on the
t2_0023,test2.csv,non-word,del,social,adverity,are,adversity,nonword edit=del,poor socioeconomic environment and social adverity are fundamental determinants of human
t2_0024,test2.csv,non-word,ins,transmission,wearinug,mask,wearing,nonword edit=ins,respiratory syndrome coronavirus-2 sars-cov-2 transmission wearinug mask has been recommended during
t2_0025,test2.csv,non-word,rep,the,photein,,protein,nonword edit=rep,the tertiary structure of the photein
t2_0026,test2.csv,non-word,trans,health,mesaures,effective,measures,nonword edit=trans,guide development of public health mesaures effective to contain the current
t2_0027,test2.csv,non-word,trans,previous,yeasr,activity,years,nonword edit=trans,fell to of the previous yeasr activity for march and april
t2_0028,test2.csv,non-word,ins,behavioral,sciencec,that,science,nonword edit=ins,shed light on the behavioral sciencec that underlies the spread of
t2_0029,test2.csv,non-word,dist2_del_rep,term,hvch,controls,which,nonword edit=dist2_del_rep,by introducing an offset term hvch controls for the long-term average
t2_0030,test2.csv,non-word,trans,nm,witohut,affecting,without,nonword edit=trans,inhibited sars-cov-2 3clpro ic50 nm witohut affecting the activity of human
t2_0031,test2.csv,non-word,trans,first,detah,of,death,nonword edit=trans,the first case and first detah of covid-19 in turkey were
